LaTeX,Description,Course
"$$
y(x, \mathbf{w})=w_{0}+w_{1} x+w_{2} x^{2}+\ldots+w_{M} x^{M}=\sum_{j=0}^{M} w_{j} x^{j}
$$","polynomial curve fitting, error minimization",COMP8600
"$$
E(\mathbf{w})=\frac{1}{2} \sum_{n=1}^{N}\left\{y\left(x_{n}, \mathbf{w}\right)-t_{n}\right\}^{2}
$$",sum-of-squares error function,COMP8600
"$$
\widetilde{E}(\mathbf{w})=\frac{1}{2} \sum_{n=1}^{N}\left\{y\left(x_{n}, \mathbf{w}\right)-t_{n}\right\}^{2}+\frac{\lambda}{2}\|\mathbf{w}\|^{2}
$$","quadratic regularizer, ridge regression, weight decay (neural networks), shrinkage (statistics literature)",COMP8600
"$$
E_{\mathrm{RMS}}=\sqrt{2 E\left(\mathbf{w}^{\star}\right) / N}
$$",root-mean-square (RMS) error,COMP8600
"$$
p(X)=\sum_{Y} p(X, Y)
$$",sum rule of probability,COMP8600
"$$
p(X, Y)=p(Y \mid X) p(X)
$$",product rule of probability,COMP8600
"$$
p(Y \mid X)=\frac{p(X \mid Y) p(Y)}{p(X)}
$$",Bayes’ theorem ,COMP8600
"$$
\int_{-\infty}^{\infty} e^{-a(x+b)^{2}} d x=\sqrt{\frac{\pi}{a}}
$$","Gaussian integral, Euler–Poisson integral",COMP8600
"$$
\begin{aligned}
p(x) & \geqslant 0 \\
\int_{-\infty}^{\infty} p(x) \mathrm{d} x &=1
\end{aligned}
$$","Kolmogorov axioms, Probability axioms",COMP8600
"$$
\begin{aligned}
p_{y}(y) &=p_{x}(x)\left|\frac{\mathrm{d} x}{\mathrm{~d} y}\right| \\
&=p_{x}(g(y))\left|g^{\prime}(y)\right|
\end{aligned}
$$","Jacobian transformation, change of variable, Jacobian factor",COMP8600
"$$
\|\boldsymbol{x}\|_{2}:=\sqrt{x_{1}^{2}+\cdots+x_{n}^{2}}
$$","Euclidean distance, Euclidean norm",COMP8600
"$$
\begin{aligned}
p(x) &=\int p(x, y) \mathrm{d} y \\
p(x, y) &=p(y \mid x) p(x) .
\end{aligned}
$$",sum rule and product rule for continuous variables,COMP8600
"$$
\begin{aligned}
\operatorname{cov}[x, y] &=\mathbb{E}_{x, y}[\{x-\mathbb{E}[x]\}\{y-\mathbb{E}[y]\}] \\
&=\mathbb{E}_{x, y}[x y]-\mathbb{E}[x] \mathbb{E}[y] \\
\operatorname{cov}[\mathbf{x}, \mathbf{y}] &=\mathbb{E}_{\mathbf{x}, \mathbf{y}}\left[\{\mathbf{x}-\mathbb{E}[\mathbf{x}]\}\left\{\mathbf{y}^{\mathrm{T}}-\mathbb{E}\left[\mathbf{y}^{\mathrm{T}}\right]\right\}\right] \\
&=\mathbb{E}_{\mathbf{x}, \mathbf{y}}\left[\mathbf{x y}^{\mathrm{T}}\right]-\mathbb{E}[\mathbf{x}] \mathbb{E}\left[\mathbf{y}^{\mathrm{T}}\right]
\end{aligned}
$$","covariance, covariance matrix",COMP8600
"$$
p(\mathbf{w} \mid \mathcal{D})=\frac{p(\mathcal{D} \mid \mathbf{w}) p(\mathbf{w})}{p(\mathcal{D})}
$$","Bayes’ theorem, Bayesian inference, likelihood function, conditional probability ",COMP8600
"$$
\text { posterior } \propto \text { likelihood } \times \text { prior }
$$","Bayes' theorem, posterior, prior",COMP8600
"$$
p(\mathcal{D})=\int p(\mathcal{D} \mid \mathbf{w}) p(\mathbf{w}) \mathrm{d} \mathbf{w}
$$","denominator, Bayes’ theorem",COMP8600
"$$
\mathcal{N}\left(x \mid \mu, \sigma^{2}\right)=\frac{1}{\left(2 \pi \sigma^{2}\right)^{1 / 2}} \exp \left\{-\frac{1}{2 \sigma^{2}}(x-\mu)^{2}\right\}
$$","Gaussian distribution, normal distribution",COMP8600
"$$
f(x)=\sqrt{\frac{\beta}{2 \pi}} e^{-\beta(x-\mu)^{2} / 2}, \quad \beta=1 / \sigma^{2}
$$","Gaussian distribution, normal distribution, precision, reciprocal of the variance",COMP8600
"$$
\mathcal{N}(\mathbf{x} \mid \boldsymbol{\mu}, \boldsymbol{\Sigma})=\frac{1}{(2 \pi)^{D / 2}} \frac{1}{|\boldsymbol{\Sigma}|^{1 / 2}} \exp \left\{-\frac{1}{2}(\mathbf{x}-\boldsymbol{\mu})^{\mathrm{T}} \boldsymbol{\Sigma}^{-1}(\mathbf{x}-\boldsymbol{\mu})\right\}
$$","multivariate normal distribution, multivariate Gaussian distribution, joint normal distribution, determinant, covariance, D-dimensional vector",COMP8600
"$$
\begin{array}{l}
\mu_{\mathrm{ML}}=\frac{1}{N} \sum_{n=1}^{N} x_{n} \\
\sigma_{\mathrm{ML}}^{2}=\frac{1}{N} \sum_{n=1}^{N}\left(x_{n}-\mu_{\mathrm{ML}}\right)^{2}
\end{array}
$$","sample mean, sample variance, maximum likelihood solution, normal distribution, Gaussian distribution",COMP8600
"$$
\begin{aligned}
\mathbb{E}\left[\mu_{\mathrm{ML}}\right] &=\mu \\
\mathbb{E}\left[\sigma_{\mathrm{ML}}^{2}\right] &=\left(\frac{N-1}{N}\right) \sigma^{2}
\end{aligned}
$$","true mean, true variance, underestimation, bias, normal distribution",COMP8600
"$$
p(t \mid x, \mathbf{w}, \beta)=\mathcal{N}\left(t \mid y(x, \mathbf{w}), \beta^{-1}\right)
$$","polynomial curve fitting, target variable, probabilistic inference, Bayesian",COMP8600
"$$
\begin{array}{l}
p(\mathbf{t} \mid \mathbf{x}, \mathbf{w}, \beta)=\prod_{n=1}^{N} \mathcal{N}\left(t_{n} \mid y\left(x_{n}, \mathbf{w}\right), \beta^{-1}\right) \\
\frac{1}{\beta_{\mathrm{ML}}}=\frac{1}{N} \sum_{n=1}^{N}\left\{y\left(x_{n}, \mathbf{w}_{\mathrm{ML}}\right)-t_{n}\right\}^{2} \\
p(\mathbf{w} \mid \alpha)=\mathcal{N}\left(\mathbf{w} \mid \mathbf{0}, \alpha^{-1} \mathbf{I}\right)=\left(\frac{\alpha}{2 \pi}\right)^{(M+1) / 2} \exp \left\{-\frac{\alpha}{2} \mathbf{w}^{\mathrm{T}} \mathbf{w}\right\} \\
p(\mathbf{w} \mid \mathbf{x}, \mathbf{t}, \alpha, \beta) \propto p(\mathbf{t} \mid \mathbf{x}, \mathbf{w}, \beta) p(\mathbf{w} \mid \alpha) \\
\mathbf{w}_{\mathrm{MAP}}=\arg \min _{\mathbf{w}} \frac{\beta}{2} \sum_{n=1}^{N}\left\{y\left(x_{n}, \mathbf{w}\right)-t_{n}\right\}^{2}+\frac{\alpha}{2} \mathbf{w}^{\mathrm{T}} \mathbf{w}
\end{array}
$$","regularized sum-of-squares error, maximum a posteriori probability (MAP) estimate, polynomial curve fitting",COMP8600
"$$
p(t \mid x, \mathbf{x}, \mathbf{t})=\int p(t \mid x, \mathbf{w}) p(\mathbf{w} \mid \mathbf{x}, \mathbf{t}) \mathrm{d} \mathbf{w}
$$","predictive distribution, polynomial curve fitting ",COMP8600
